"(1, 200)",94.402%
"(1, 300)",95.30199999999999%
"(1, 400)",96.00800000000001%
"(1, 500)",96.394%
"(1, 600)",96.806%
"(1, 700)",96.982%
"(1, 800)",97.23%
"(1, 900)",97.37%
"(1, 1000)",97.416%
"(1, 1100)",97.57400000000001%
"(1, 1200)",97.634%
"(1, 1300)",97.84%
"(1, 1400)",97.89999999999999%
"(1, 1500)",97.99799999999999%
"(1, 1600)",98.024%
"(1, 1700)",98.178%
"(1, 1800)",98.102%
"(1, 1900)",98.17%
"(1, 2000)",98.26599999999999%
"(1, 2100)",98.30799999999999%
"(1, 2200)",98.33800000000001%
"(1, 2300)",98.354%
"(1, 2400)",98.316%
"(1, 2500)",98.494%
"(1, 2600)",98.426%
"(1, 2700)",98.49%
"(1, 2800)",98.494%
"(1, 2900)",98.554%
"(1, 3000)",98.518%
"(1, 3100)",98.63199999999999%
"(1, 3200)",98.612%
"(1, 3300)",98.60799999999999%
"(1, 3400)",98.668%
"(1, 3500)",98.656%
"(1, 3600)",98.534%
"(1, 3700)",98.72800000000001%
"(1, 3800)",98.72800000000001%
"(1, 3900)",98.774%
"(1, 4000)",98.778%
"(1, 4100)",98.676%
"(1, 4200)",98.83800000000001%
"(1, 4300)",98.744%
"(1, 4400)",98.85199999999999%
"(1, 4500)",98.786%
"(1, 4600)",98.904%
"(1, 4700)",98.95%
"(1, 4800)",98.842%
"(1, 4900)",98.892%
"(1, 5000)",98.908%
"(1, 5100)",98.874%
"(1, 5200)",98.832%
"(1, 5300)",98.944%
"(1, 5400)",98.94800000000001%
"(1, 5500)",98.912%
"(1, 5600)",98.958%
"(1, 5700)",98.906%
"(1, 5800)",98.92%
"(1, 5900)",98.95%
"(1, 6000)",98.964%
"(1, 6100)",99.066%
"(1, 6200)",98.988%
"(1, 6300)",99.012%
"(1, 6400)",98.912%
"(1, 6500)",98.944%
"(1, 6600)",99.024%
"(1, 6700)",99.014%
"(1, 6800)",98.966%
"(1, 6900)",99.068%
"(1, 7000)",99.006%
"(1, 7100)",99.044%
"(1, 7200)",99.036%
"(1, 7300)",99.116%
"(1, 7400)",99.146%
"(1, 7500)",99.058%
"(1, 8000)",99.092%
"(1, 8500)",99.152%
"(1, 9000)",99.124%
"(1, 9500)",99.244%
"(1, 10000)",99.202%
"(1, 10500)",99.248%
"(1, 11000)",99.248%
"(1, 11500)",99.25%
"(1, 12000)",99.30600000000001%
"(1, 12500)",99.29599999999999%
"(1, 13000)",99.354%
"(1, 13500)",99.358%
"(1, 14000)",99.368%
"(1, 14500)",99.436%
"(1, 15000)",99.356%
"(2, 200)",61.321999999999996%
"(2, 300)",63.629999999999995%
"(2, 400)",64.53%
"(2, 500)",65.718%
"(2, 600)",65.88199999999999%
"(2, 700)",66.444%
"(2, 800)",67.206%
"(2, 900)",67.164%
"(2, 1000)",67.744%
"(2, 1100)",68.496%
"(2, 1200)",68.292%
"(2, 1300)",69.096%
"(2, 1400)",69.19%
"(2, 1500)",69.174%
"(2, 1600)",69.126%
"(2, 1700)",69.55%
"(2, 1800)",69.662%
"(2, 1900)",69.69999999999999%
"(2, 2000)",70.226%
"(2, 2100)",70.05799999999999%
"(2, 2200)",69.998%
"(2, 2300)",70.41199999999999%
"(2, 2400)",70.61800000000001%
"(2, 2500)",70.672%
"(2, 2600)",70.49%
"(2, 2700)",70.598%
"(2, 2800)",71.05799999999999%
"(2, 2900)",71.186%
"(2, 3000)",70.704%
"(2, 3100)",71.102%
"(2, 3200)",71.256%
"(2, 3300)",71.598%
"(2, 3400)",71.524%
"(2, 3500)",71.61%
"(2, 3600)",71.474%
"(2, 3700)",71.712%
"(2, 3800)",72.012%
"(2, 3900)",71.576%
"(2, 4000)",71.784%
"(2, 4100)",71.942%
"(2, 4200)",72.142%
"(2, 4300)",71.936%
"(2, 4400)",71.994%
"(2, 4500)",72.636%
"(2, 4600)",72.066%
"(2, 4700)",72.15%
"(2, 4800)",72.43%
"(2, 4900)",72.384%
"(2, 5000)",72.384%
"(2, 5100)",72.05799999999999%
"(2, 5200)",72.504%
"(2, 5300)",72.196%
"(2, 5400)",72.394%
"(2, 5500)",72.6%
"(2, 5600)",72.626%
"(2, 5700)",72.52%
"(2, 5800)",72.488%
"(2, 5900)",72.37400000000001%
"(2, 6000)",72.832%
"(2, 6100)",72.702%
"(2, 6200)",72.858%
"(2, 6300)",72.842%
"(2, 6400)",72.42202418841502%
"(2, 6500)",71.0%
"(2, 6600)",74.6%
"(2, 6700)",71.8%
"(2, 6800)",74.0%
"(2, 6900)",72.48062015503875%
"(2, 7000)",74.4%
"(2, 7100)",78.4%
"(2, 7200)",75.8%
"(2, 7300)",73.0%
"(2, 7400)",73.6%
"(2, 7500)",74.8%
"(2, 8000)",75.8%
"(2, 8500)",72.2%
"(2, 9000)",74.4%
"(2, 9500)",72.8%
"(2, 10000)",74.0%
"(2, 10500)",70.39999999999999%
"(2, 11000)",71.6%
"(2, 11500)",72.0%
"(2, 12000)",69.6%
"(2, 12500)",71.2%
"(2, 13000)",72.0%
"(2, 13500)",74.8%
"(2, 14000)",74.8%
"(2, 14500)",72.8%
"(2, 15000)",73.2%
"(3, 200)",27.897838899803535%
"(3, 300)",32.6%
"(3, 400)",34.4%
"(3, 500)",33.0%
"(3, 600)",31.8%
"(3, 700)",31.2%
"(3, 800)",35.0%
"(3, 900)",33.2%
"(3, 1000)",34.0%
"(3, 1100)",32.800000000000004%
"(3, 1200)",32.800000000000004%
"(3, 1300)",34.0%
"(3, 1400)",33.6%
"(3, 1500)",33.4%
"(3, 1600)",32.6%
"(3, 1700)",30.2%
"(3, 1800)",28.999999999999996%
"(3, 1900)",35.0%
"(3, 2000)",31.2%
"(3, 2100)",35.199999999999996%
"(3, 2200)",34.4%
"(3, 2300)",32.0%
"(3, 2400)",32.0%
"(3, 2500)",35.6%
"(3, 2600)",37.8%
"(3, 2700)",34.8%
"(3, 2800)",30.599999999999998%
"(3, 2900)",34.0%
"(3, 3000)",32.4%
